# z n_z
5.000000000000000104e-03 5.101420898437500000e+03
1.499999999999999944e-02 4.763266601562500000e+02
2.500000000000000139e-02 7.934628906250000000e+02
3.500000000000000333e-02 3.293579101562500000e+02
4.499999999999999833e-02 3.121092773437500000e+03
5.500000000000000028e-02 8.622792968750000000e+02
6.500000000000000222e-02 2.170778320312500000e+03
7.500000000000001110e-02 2.376011718750000000e+03
8.499999999999999223e-02 1.750929687500000000e+03
9.500000000000000111e-02 1.965353515625000000e+03
1.050000000000000100e-01 5.239310546875000000e+03
1.149999999999999911e-01 7.777591796875000000e+03
1.250000000000000000e-01 1.086667382812500000e+04
1.350000000000000089e-01 1.301401171875000000e+04
1.450000000000000178e-01 2.464477343750000000e+04
1.549999999999999989e-01 1.931067187500000000e+04
1.650000000000000078e-01 1.959076562500000000e+04
1.749999999999999889e-01 3.519759375000000000e+04
1.849999999999999978e-01 5.033640625000000000e+04
1.950000000000000067e-01 6.813818750000000000e+04
2.050000000000000155e-01 9.062800000000000000e+04
2.149999999999999967e-01 1.055845000000000000e+05
2.250000000000000056e-01 1.179206250000000000e+05
2.349999999999999867e-01 1.271475000000000000e+05
2.449999999999999956e-01 1.215556875000000000e+05
2.550000000000000044e-01 1.093499375000000000e+05
2.650000000000000133e-01 1.038188750000000000e+05
2.750000000000000222e-01 1.088085000000000000e+05
2.850000000000000311e-01 1.235560000000000000e+05
2.949999999999999845e-01 1.161392500000000000e+05
3.049999999999999933e-01 1.168535000000000000e+05
3.150000000000000022e-01 1.110890000000000000e+05
3.250000000000000111e-01 1.058981250000000000e+05
3.350000000000000200e-01 1.356545000000000000e+05
3.450000000000000289e-01 1.165376250000000000e+05
3.549999999999999822e-01 9.840837500000000000e+04
3.649999999999999911e-01 9.526550000000000000e+04
3.750000000000000000e-01 8.318575000000000000e+04
3.850000000000000089e-01 8.573500000000000000e+04
3.950000000000000178e-01 7.936075000000000000e+04
4.050000000000000266e-01 6.964825000000000000e+04
4.150000000000000355e-01 6.939850000000000000e+04
4.249999999999999889e-01 6.720475000000000000e+04
4.349999999999999978e-01 9.830500000000000000e+04
4.450000000000000067e-01 9.979875000000000000e+04
4.550000000000000155e-01 9.954575000000000000e+04
4.650000000000000244e-01 9.918250000000000000e+04
4.749999999999999778e-01 9.991050000000000000e+04
4.849999999999999867e-01 9.882475000000000000e+04
4.949999999999999956e-01 1.006672500000000000e+05
5.050000000000000044e-01 1.092250000000000000e+05
5.150000000000000133e-01 9.982150000000000000e+04
5.250000000000000222e-01 1.153650000000000000e+05
5.350000000000000311e-01 1.032095000000000000e+05
5.450000000000000400e-01 1.094567500000000000e+05
5.550000000000000488e-01 1.051367500000000000e+05
5.650000000000000577e-01 1.052972500000000000e+05
5.749999999999999556e-01 1.011135000000000000e+05
5.849999999999999645e-01 1.117432500000000000e+05
5.949999999999999734e-01 1.129065000000000000e+05
6.049999999999999822e-01 1.119770000000000000e+05
6.149999999999999911e-01 1.209925000000000000e+05
6.250000000000000000e-01 1.189115000000000000e+05
6.350000000000000089e-01 1.154265000000000000e+05
6.450000000000000178e-01 1.077255000000000000e+05
6.550000000000000266e-01 1.190160000000000000e+05
6.650000000000000355e-01 1.301450000000000000e+05
6.750000000000000444e-01 1.217565000000000000e+05
6.850000000000000533e-01 1.374565000000000000e+05
6.950000000000000622e-01 1.256045000000000000e+05
7.050000000000000711e-01 1.121425000000000000e+05
7.149999999999999689e-01 1.131575000000000000e+05
7.249999999999999778e-01 1.207760000000000000e+05
7.349999999999999867e-01 1.246695000000000000e+05
7.449999999999999956e-01 1.361705000000000000e+05
7.550000000000000044e-01 1.319265000000000000e+05
7.650000000000000133e-01 1.169600000000000000e+05
7.750000000000000222e-01 1.426820000000000000e+05
7.850000000000000311e-01 1.456195000000000000e+05
7.950000000000000400e-01 1.451200000000000000e+05
8.050000000000000488e-01 1.658840000000000000e+05
8.150000000000000577e-01 1.234370000000000000e+05
8.250000000000000666e-01 1.279985000000000000e+05
8.349999999999999645e-01 1.292670000000000000e+05
8.449999999999999734e-01 1.209140000000000000e+05
8.549999999999999822e-01 1.119560000000000000e+05
8.649999999999999911e-01 1.154975000000000000e+05
8.750000000000000000e-01 1.032400000000000000e+05
8.850000000000000089e-01 7.099200000000000000e+04
8.950000000000000178e-01 5.953700000000000000e+04
9.050000000000000266e-01 7.213900000000000000e+04
9.150000000000000355e-01 5.053300000000000000e+04
9.250000000000000444e-01 4.257200000000000000e+04
9.350000000000000533e-01 3.095450000000000000e+04
9.450000000000000622e-01 2.387750000000000000e+04
9.550000000000000711e-01 2.103050000000000000e+04
9.649999999999999689e-01 1.866600000000000000e+04
9.749999999999999778e-01 1.066100000000000000e+04
9.849999999999999867e-01 1.384700000000000000e+04
9.949999999999999956e-01 1.099350000000000000e+04
1.004999999999999893e+00 7.052500000000000000e+03
1.015000000000000124e+00 7.992000000000000000e+03
1.024999999999999911e+00 7.335500000000000000e+03
1.035000000000000142e+00 4.436000000000000000e+03
1.044999999999999929e+00 1.462500000000000000e+03
1.055000000000000160e+00 1.535500000000000000e+03
1.064999999999999947e+00 2.692000000000000000e+03
1.075000000000000178e+00 3.770000000000000000e+03
1.084999999999999964e+00 2.699500000000000000e+03
1.095000000000000195e+00 7.435000000000000000e+02
1.104999999999999982e+00 4.430000000000000000e+03
1.115000000000000213e+00 4.452000000000000000e+03
1.125000000000000000e+00 1.373500000000000000e+03
1.135000000000000231e+00 1.683000000000000000e+03
1.145000000000000018e+00 1.952500000000000000e+03
1.155000000000000027e+00 1.579500000000000000e+03
1.165000000000000036e+00 2.350000000000000000e+03
1.174999999999999822e+00 1.472500000000000000e+03
1.185000000000000053e+00 1.199500000000000000e+03
1.194999999999999840e+00 8.240000000000000000e+02
1.205000000000000071e+00 2.255000000000000000e+02
1.214999999999999858e+00 1.500500000000000000e+03
1.225000000000000089e+00 4.100000000000000000e+01
1.234999999999999876e+00 3.395000000000000000e+02
1.245000000000000107e+00 2.377500000000000000e+03
1.254999999999999893e+00 8.100000000000000000e+01
1.265000000000000124e+00 5.480000000000000000e+02
1.274999999999999911e+00 1.033000000000000000e+03
1.285000000000000142e+00 8.470000000000000000e+02
1.294999999999999929e+00 6.200000000000000000e+02
1.305000000000000160e+00 2.264000000000000000e+03
1.314999999999999947e+00 5.000000000000000000e+00
1.325000000000000178e+00 5.930000000000000000e+02
1.334999999999999964e+00 7.080000000000000000e+02
1.345000000000000195e+00 2.300000000000000000e+01
1.354999999999999982e+00 1.530000000000000000e+02
1.365000000000000213e+00 1.620000000000000000e+02
1.375000000000000000e+00 3.000000000000000000e+01
1.385000000000000231e+00 1.010000000000000000e+02
1.395000000000000018e+00 1.000000000000000000e+00
1.405000000000000027e+00 7.930000000000000000e+02
1.415000000000000036e+00 1.000000000000000000e+00
1.424999999999999822e+00 8.000000000000000000e+00
1.435000000000000053e+00 1.530000000000000000e+02
1.444999999999999840e+00 1.800000000000000000e+01
1.455000000000000071e+00 0.000000000000000000e+00
1.464999999999999858e+00 3.800000000000000000e+01
1.475000000000000089e+00 0.000000000000000000e+00
1.484999999999999876e+00 3.000000000000000000e+00
1.495000000000000107e+00 0.000000000000000000e+00
1.504999999999999893e+00 0.000000000000000000e+00
1.515000000000000124e+00 1.598000000000000000e+03
1.524999999999999911e+00 1.960000000000000000e+02
1.535000000000000142e+00 3.450000000000000000e+02
1.544999999999999929e+00 0.000000000000000000e+00
1.555000000000000160e+00 0.000000000000000000e+00
1.564999999999999947e+00 0.000000000000000000e+00
