# z n_z
5.000000000000000104e-03 0.000000000000000000e+00
1.499999999999999944e-02 9.672496914863586426e-01
2.500000000000000139e-02 2.682176828384399414e+00
3.500000000000000333e-02 1.929296493530273438e+00
4.499999999999999833e-02 2.513731718063354492e+00
5.500000000000000028e-02 5.293147563934326172e+00
6.500000000000000222e-02 3.679984569549560547e+00
7.500000000000001110e-02 8.459922790527343750e+00
8.499999999999999223e-02 1.121765899658203125e+01
9.500000000000000111e-02 8.327017784118652344e+00
1.050000000000000100e-01 1.124273967742919922e+01
1.149999999999999911e-01 1.806906127929687500e+01
1.250000000000000000e-01 3.446932220458984375e+01
1.350000000000000089e-01 7.618982696533203125e+01
1.450000000000000178e-01 1.479309204101562500e+03
1.549999999999999989e-01 5.591964843750000000e+03
1.650000000000000078e-01 8.406278320312500000e+03
1.749999999999999889e-01 9.244724609375000000e+03
1.849999999999999978e-01 9.029989257812500000e+03
1.950000000000000067e-01 9.684566406250000000e+03
2.050000000000000155e-01 1.142605371093750000e+04
2.149999999999999967e-01 1.301886816406250000e+04
2.250000000000000056e-01 1.423369140625000000e+04
2.349999999999999867e-01 1.501268164062500000e+04
2.449999999999999956e-01 1.516208203125000000e+04
2.550000000000000044e-01 1.593677539062500000e+04
2.650000000000000133e-01 1.738421093750000000e+04
2.750000000000000222e-01 1.973778906250000000e+04
2.850000000000000311e-01 2.196895703125000000e+04
2.949999999999999845e-01 2.332526953125000000e+04
3.049999999999999933e-01 2.360234765625000000e+04
3.150000000000000022e-01 2.258545312500000000e+04
3.250000000000000111e-01 2.231514062500000000e+04
3.350000000000000200e-01 2.332270312500000000e+04
3.450000000000000289e-01 2.575767968750000000e+04
3.549999999999999822e-01 2.815639062500000000e+04
3.649999999999999911e-01 3.006675000000000000e+04
3.750000000000000000e-01 3.123622656250000000e+04
3.850000000000000089e-01 3.176130468750000000e+04
3.950000000000000178e-01 3.262108593750000000e+04
4.050000000000000266e-01 3.342533593750000000e+04
4.150000000000000355e-01 3.506396875000000000e+04
4.249999999999999889e-01 3.691531250000000000e+04
4.349999999999999978e-01 3.885409375000000000e+04
4.450000000000000067e-01 4.112593750000000000e+04
4.550000000000000155e-01 4.333682812500000000e+04
4.650000000000000244e-01 4.538889062500000000e+04
4.749999999999999778e-01 4.715835937500000000e+04
4.849999999999999867e-01 4.835665625000000000e+04
4.949999999999999956e-01 4.918942187500000000e+04
5.050000000000000044e-01 4.969121875000000000e+04
5.150000000000000133e-01 5.091685937500000000e+04
5.250000000000000222e-01 5.260009375000000000e+04
5.350000000000000311e-01 5.399434375000000000e+04
5.450000000000000400e-01 5.544518750000000000e+04
5.550000000000000488e-01 5.653440625000000000e+04
5.650000000000000577e-01 5.767721875000000000e+04
5.749999999999999556e-01 5.804765625000000000e+04
5.849999999999999645e-01 5.814284375000000000e+04
5.949999999999999734e-01 5.772759375000000000e+04
6.049999999999999822e-01 5.620650000000000000e+04
6.149999999999999911e-01 5.428037500000000000e+04
6.250000000000000000e-01 5.154937500000000000e+04
6.350000000000000089e-01 4.865853125000000000e+04
6.450000000000000178e-01 4.554240625000000000e+04
6.550000000000000266e-01 4.288837500000000000e+04
6.650000000000000355e-01 4.043918750000000000e+04
6.750000000000000444e-01 3.788484375000000000e+04
6.850000000000000533e-01 3.579625000000000000e+04
6.950000000000000622e-01 3.396621875000000000e+04
7.050000000000000711e-01 3.304240625000000000e+04
7.149999999999999689e-01 3.240593750000000000e+04
7.249999999999999778e-01 3.202550000000000000e+04
7.349999999999999867e-01 3.193856250000000000e+04
7.449999999999999956e-01 3.210190625000000000e+04
7.550000000000000044e-01 3.257625000000000000e+04
7.650000000000000133e-01 3.310425000000000000e+04
7.750000000000000222e-01 3.354893750000000000e+04
7.850000000000000311e-01 3.357900000000000000e+04
7.950000000000000400e-01 3.405812500000000000e+04
8.050000000000000488e-01 3.425725000000000000e+04
8.150000000000000577e-01 3.438700000000000000e+04
8.250000000000000666e-01 3.406081250000000000e+04
8.349999999999999645e-01 3.382818750000000000e+04
8.449999999999999734e-01 3.318018750000000000e+04
8.549999999999999822e-01 3.222825000000000000e+04
8.649999999999999911e-01 3.083587500000000000e+04
8.750000000000000000e-01 2.859481250000000000e+04
8.850000000000000089e-01 2.547150000000000000e+04
8.950000000000000178e-01 2.127187500000000000e+04
9.050000000000000266e-01 1.598956250000000000e+04
9.150000000000000355e-01 1.094081250000000000e+04
9.250000000000000444e-01 6.750687500000000000e+03
9.350000000000000533e-01 3.825250000000000000e+03
9.450000000000000622e-01 2.303750000000000000e+03
9.550000000000000711e-01 1.579937500000000000e+03
9.649999999999999689e-01 1.103812500000000000e+03
9.749999999999999778e-01 7.896250000000000000e+02
9.849999999999999867e-01 6.743125000000000000e+02
9.949999999999999956e-01 5.008750000000000000e+02
1.004999999999999893e+00 3.693750000000000000e+02
1.015000000000000124e+00 2.598125000000000000e+02
1.024999999999999911e+00 2.096875000000000000e+02
