# z n_z
5.000000000000000104e-03 2.299534261144854652e-02
1.499999999999999944e-02 5.221980023283429723e-02
2.500000000000000139e-02 8.203267578239989422e-02
3.500000000000000333e-02 1.129385172729787806e-01
4.499999999999999833e-02 1.452168707660023705e-01
5.500000000000000028e-02 1.788814391357468891e-01
6.500000000000000222e-02 2.137371700699803589e-01
7.500000000000001110e-02 2.496581884342705671e-01
8.499999999999999223e-02 2.868152021704991617e-01
9.500000000000000111e-02 3.255566543741554297e-01
1.050000000000000100e-01 3.660187733446254033e-01
1.149999999999999911e-01 4.077140366746022093e-01
1.250000000000000000e-01 4.498853321386014903e-01
1.350000000000000089e-01 4.919021283476890938e-01
1.450000000000000178e-01 5.337091646665528266e-01
1.549999999999999989e-01 5.755183684945011091e-01
1.650000000000000078e-01 6.182343193771951961e-01
1.749999999999999889e-01 6.622949326914256973e-01
1.849999999999999978e-01 7.074115118664419111e-01
1.950000000000000067e-01 7.527392704026644177e-01
2.050000000000000155e-01 7.974644820725540484e-01
2.149999999999999967e-01 8.403998604305213949e-01
2.250000000000000056e-01 8.801079817133088401e-01
2.349999999999999867e-01 9.163561860934552605e-01
2.449999999999999956e-01 9.488255390484356955e-01
2.550000000000000044e-01 9.770193475871152833e-01
2.650000000000000133e-01 1.000928894501042166e+00
2.750000000000000222e-01 1.020595452747469878e+00
2.850000000000000311e-01 1.035126491049678021e+00
2.949999999999999845e-01 1.044365880700297788e+00
3.049999999999999933e-01 1.050110633795346082e+00
3.150000000000000022e-01 1.054261025295015752e+00
3.250000000000000111e-01 1.057596507956982235e+00
3.350000000000000200e-01 1.059825190115687876e+00
3.450000000000000289e-01 1.059828947816761291e+00
3.549999999999999822e-01 1.058269444894859523e+00
3.649999999999999911e-01 1.057143318532374199e+00
3.750000000000000000e-01 1.058085090029844411e+00
3.850000000000000089e-01 1.062872900541213417e+00
3.950000000000000178e-01 1.072948706929700791e+00
4.050000000000000266e-01 1.088834705438047168e+00
4.150000000000000355e-01 1.109773931618305287e+00
4.249999999999999889e-01 1.134695055301864208e+00
4.349999999999999978e-01 1.162437632722612246e+00
4.450000000000000067e-01 1.192398298787534561e+00
4.550000000000000155e-01 1.224435548207988500e+00
4.650000000000000244e-01 1.258278056585359517e+00
4.749999999999999778e-01 1.293375287090173131e+00
4.849999999999999867e-01 1.329164530123143395e+00
4.949999999999999956e-01 1.364555805678313138e+00
5.050000000000000044e-01 1.397380575631029798e+00
5.150000000000000133e-01 1.423887976188715987e+00
5.250000000000000222e-01 1.439505008236197092e+00
5.350000000000000311e-01 1.440573685257984016e+00
5.450000000000000400e-01 1.427440789593555248e+00
